Time,Player, Chest 1(Silver), Chest 2(Gold)
11/17/2019 2:56:46 PM,Player1,60,40
11/17/2019 2:56:46 PM,Player2,30,70
11/18/2019 10:55:28 AM,Player1,0,0
11/18/2019 10:55:28 AM,Player2,0,0
11/18/2019 10:56:04 AM,Player1,10,90
11/18/2019 10:56:04 AM,Player2,40,60
11/18/2019 10:58:29 AM,Player1,30,70
11/18/2019 10:58:29 AM,Player2,50,50
11/18/2019 10:59:04 AM,Player1,60,40
11/18/2019 10:59:04 AM,Player2,50,50
11/18/2019 11:02:15 AM,Player1,50,50
11/18/2019 11:02:15 AM,Player2,90,10
11/18/2019 11:03:07 AM,Player1,50,50
11/18/2019 11:03:07 AM,Player2,40,60
